23-03-31 13:42:12.696 | 15300:13016 | INFO | VERBOSE | Parsed App Hash Key: 2131091458
23-03-31 13:42:12.696 | 15300:13016 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 13:42:12.696 | 15300:13016 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 13:42:12.696 | 15300:13016 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 13:42:12.696 | 15300:13016 | INFO | VERBOSE | Parsed App Hash Key: 2141861353
23-03-31 13:42:12.696 | 15300:13016 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 13:42:12.696 | 15300:13016 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 13:42:12.696 | 15300:13016 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 13:42:12.696 | 15300:13016 | INFO | VERBOSE | Parsed App Hash Key: 2158855615
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Parsed App Hash Key: 2313309613
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Parsed App Hash Key: 2354455524
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Parsed App Hash Key: 2576584156
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Parsed App Hash Key: 2915012267
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Parsed App Hash Key: 2939684987
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Parsed App Hash Key: 4003512174
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Parsed App Hash Key: 4028115267
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Parsed App Hash Key: 4044159419
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Parsed App Hash Key: 4252286244
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Parsed App Hash Key: 4265401569
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Parsed App Hash Key: 900892206
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | _______________________________________________________________
23-03-31 13:42:12.699 | 15300:13016 | INFO | GENERAL | Checking for RVM config registry settings for local machine
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | _______________________________________________________________
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Successfully parsed the following RVM settings keys/values
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Reading from "Software\Microsoft\Windows\CurrentVersion\Policies\OpenFin\RVM":
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Reading from "Software\Microsoft\Windows\CurrentVersion\Policies\OpenFin\RVM\Settings":
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Reading from "Software\Microsoft\Windows\CurrentVersion\Policies\OpenFin\RVM\Settings\Network":
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Reading from "Software\Microsoft\Windows\CurrentVersion\Policies\OpenFin\RVM\Settings\Deployment":
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Reading from "Software\Microsoft\Windows\CurrentVersion\Policies\OpenFin\RVM\Settings\ApplicationLogging":
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Reading from "Software\Microsoft\Windows\CurrentVersion\Policies\OpenFin\RVM\AppSettings":
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | _______________________________________________________________
23-03-31 13:42:12.699 | 15300:13016 | INFO | GENERAL | Checking for RVM config registry settings for current user
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | _______________________________________________________________
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Successfully parsed the following RVM settings keys/values
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Reading from "Software\Microsoft\Windows\CurrentVersion\Policies\OpenFin\RVM":
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Reading from "Software\Microsoft\Windows\CurrentVersion\Policies\OpenFin\RVM\Settings":
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Reading from "Software\Microsoft\Windows\CurrentVersion\Policies\OpenFin\RVM\Settings\Network":
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Reading from "Software\Microsoft\Windows\CurrentVersion\Policies\OpenFin\RVM\Settings\Deployment":
23-03-31 13:42:12.699 | 15300:13016 | INFO | VERBOSE | Reading from "Software\Microsoft\Windows\CurrentVersion\Policies\OpenFin\RVM\Settings\ApplicationLogging":
