23-03-31 10:53:59.806 | 9984:3544 | INFO | Initialized rvm.log
23-03-31 10:53:59.806 | 9984:3544 | INFO | LOG_MANAGER | Testing RVM log.
23-03-31 10:53:59.806 | 9984:3544 | INFO | LOG_MANAGER | -----------------------New RVM Instance-----------------------
23-03-31 10:53:59.806 | 9984:3544 | INFO | GENERAL | Starting OpenFin RVM - Version 9.0.0.301
23-03-31 10:53:59.806 | 9984:3544 | INFO | GENERAL | [RVM Directory] - C:\Users\Richard\AppData\Local\OpenFin
23-03-31 10:53:59.806 | 9984:3544 | INFO | GENERAL | Command line arguments : --no-ui --config=http://localhost:9000/app.json --runtime-arguments=--runtime-information-channel-v6=NodeAdapter.2e571ac90282fbb53336472e799faa5b
23-03-31 10:53:59.806 | 9984:3544 | INFO | GENERAL | RVM sessionId: 6382381e-a26d-46cc-b10a-da26c77fce6f
23-03-31 10:53:59.806 | 9984:3544 | INFO | GENERAL | Integrity Level: 2
23-03-31 10:53:59.806 | 9984:3544 | INFO | GENERAL | <- Primary RVM
23-03-31 10:53:59.837 | 9984:3544 | INFO | VERBOSE | Global Configuration Inserting:	unusedRuntimeExpirationInMinutes : 0
23-03-31 10:53:59.837 | 9984:3544 | INFO | VERBOSE | Global Configuration Inserting:	maxAppLogFiles : 0
23-03-31 10:53:59.837 | 9984:3544 | INFO | VERBOSE | Global Configuration Inserting:	maxAppLogFileSizeMB : 0
23-03-31 10:53:59.837 | 9984:3544 | INFO | GENERAL | Initializing RVM configuration settings from Registry
23-03-31 10:53:59.837 | 9984:3544 | INFO | GENERAL | Checking for RVM config registry settings for local machine
23-03-31 10:53:59.837 | 9984:3544 | INFO | VERBOSE | _______________________________________________________________
23-03-31 10:53:59.837 | 9984:3544 | INFO | VERBOSE | Successfully parsed the following RVM settings keys/values
23-03-31 10:53:59.837 | 9984:3544 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM":
23-03-31 10:53:59.837 | 9984:3544 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM\Settings":
23-03-31 10:53:59.837 | 9984:3544 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM\Settings\Network":
23-03-31 10:53:59.837 | 9984:3544 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM\Settings\Deployment":
23-03-31 10:53:59.837 | 9984:3544 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM\Settings\ApplicationLogging":
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM\AppSettings":
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | _______________________________________________________________
23-03-31 10:53:59.853 | 9984:3544 | INFO | GENERAL | Checking for RVM config registry settings for current user
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | _______________________________________________________________
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Successfully parsed the following RVM settings keys/values
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM":
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	runtimeArgs : --inspect --v=1
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM\Settings":
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Global Configuration Inserting:	trackBetaAutoUpdates : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	trackBetaAutoUpdates : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Global Configuration Inserting:	DesktopOwnerSettings : https://jsonblob.com/api/1088753725430054912
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	DesktopOwnerSettings : https://jsonblob.com/api/1088753725430054912
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Global Configuration Inserting:	enableUnsafeBrowserProcessDebugging : 1
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM\Settings\Network":
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM\Settings\Deployment":
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM\Settings\ApplicationLogging":
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Reading from "Software\OpenFin\RVM\AppSettings":
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Parsed App Hash Key: 1070452240
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Parsed App Hash Key: 17048003
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Parsed App Hash Key: 1748049390
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Parsed App Hash Key: 1841599057
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Parsed App Hash Key: 1956703844
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Parsed App Hash Key: 2131091458
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Parsed App Hash Key: 2141861353
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Parsed App Hash Key: 2158855615
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Parsed App Hash Key: 2313309613
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Parsed App Hash Key: 2354455524
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Parsed App Hash Key: 2576584156
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Parsed App Hash Key: 2915012267
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartupShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | Parsed App Hash Key: 2939684987
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableDesktopShortcut : 0
23-03-31 10:53:59.853 | 9984:3544 | INFO | VERBOSE | 	EnableStartMenuShortcut : 0
